"REF_DATE","GEO","DGUID","Characteristics of potable water use","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","New Brunswick","2016A000213","Sector of use unknown","Cubic metres","72","millions","6","v91504429","5.6","46.6","A","","","1"
"2011","New Brunswick","2016A000213","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504430","5.7","645","A","","","0"
"2011","New Brunswick","2016A000213","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504431","5.8","293","A","","","0"
"2011","New Brunswick","2016A000213","Responding population served for the average daily residential use","Persons","249","units ","0","v91504432","5.9","259409","A","","","0"
"2011","Quebec","2016A000224","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504433","6.1","1645.7","A","","","1"
"2011","Quebec","2016A000224","Residential sector","Cubic metres","72","millions","6","v91504434","6.2","578.4","A","","","1"
"2011","Quebec","2016A000224","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504435","6.3","257.0","A","","","1"
"2011","Quebec","2016A000224","Losses from the distribution system","Cubic metres","72","millions","6","v91504436","6.4","301.3","A","","","1"
"2011","Quebec","2016A000224","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504437","6.5","16.7","B","","","1"
"2011","Quebec","2016A000224","Sector of use unknown","Cubic metres","72","millions","6","v91504438","6.6","492.4","A","","","1"
"2011","Quebec","2016A000224","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504439","6.7","628","A","","","0"
"2011","Quebec","2016A000224","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504440","6.8","364","A","","","0"
"2011","Quebec","2016A000224","Responding population served for the average daily residential use","Persons","249","units ","0","v91504441","6.9","4357993","A","","","0"
"2011","Ontario","2016A000235","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504442","7.1","1670.0","A","","","1"
"2011","Ontario","2016A000235","Residential sector","Cubic metres","72","millions","6","v91504443","7.2","793.0","A","","","1"
"2011","Ontario","2016A000235","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504444","7.3","427.4","A","","","1"
"2011","Ontario","2016A000235","Losses from the distribution system","Cubic metres","72","millions","6","v91504445","7.4","194.5","A","","","1"
"2011","Ontario","2016A000235","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504446","7.5","126.4","A","","","1"
"2011","Ontario","2016A000235","Sector of use unknown","Cubic metres","72","millions","6","v91504447","7.6","128.7","A","","","1"
"2011","Ontario","2016A000235","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504448","7.7","407","A","","","0"
"2011","Ontario","2016A000235","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504449","7.8","208","A","","","0"
"2011","Ontario","2016A000235","Responding population served for the average daily residential use","Persons","249","units ","0","v91504450","7.9","10464326","A","","","0"
"2011","Manitoba","2016A000246","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504451","8.1","117.2","A","","","1"
"2011","Manitoba","2016A000246","Residential sector","Cubic metres","72","millions","6","v91504452","8.2","57.9","A","","","1"
"2011","Manitoba","2016A000246","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504453","8.3","31.5","A","","","1"
"2011","Manitoba","2016A000246","Losses from the distribution system","Cubic metres","72","millions","6","v91504454","8.4","17.5","A","","","1"
"2011","Manitoba","2016A000246","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504455","8.5","4.3","A","","","1"
"2011","Manitoba","2016A000246","Sector of use unknown","Cubic metres","72","millions","6","v91504456","8.6","5.9","B","","","1"
"2011","Manitoba","2016A000246","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504457","8.7","332","A","","","0"
"2011","Manitoba","2016A000246","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504458","8.8","173","A","","","0"
"2011","Manitoba","2016A000246","Responding population served for the average daily residential use","Persons","249","units ","0","v91504459","8.9","918025","A","","","0"
"2011","Saskatchewan","2016A000247","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504460","9.1","121.9","A","","","1"
"2011","Saskatchewan","2016A000247","Residential sector","Cubic metres","72","millions","6","v91504461","9.2","50.2","A","","","1"
"2011","Saskatchewan","2016A000247","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504462","9.3","34.0","A","","","1"
"2011","Saskatchewan","2016A000247","Losses from the distribution system","Cubic metres","72","millions","6","v91504463","9.4","15.0","A","","","1"
"2011","Saskatchewan","2016A000247","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504464","9.5","4.2","A","","","1"
"2011","Saskatchewan","2016A000247","Sector of use unknown","Cubic metres","72","millions","6","v91504465","9.6","18.6","A","","","1"
"2011","Saskatchewan","2016A000247","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504466","9.7","414","A","","","0"
"2011","Saskatchewan","2016A000247","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504467","9.8","200","A","","","0"
"2011","Saskatchewan","2016A000247","Responding population served for the average daily residential use","Persons","249","units ","0","v91504468","9.9","686351","A","","","0"
"2011","Alberta","2016A000248","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504469","10.1","440.5","A","","","1"
"2011","Alberta","2016A000248","Residential sector","Cubic metres","72","millions","6","v91504470","10.2","201.1","A","","","1"
"2011","Alberta","2016A000248","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504471","10.3","96.8","A","","","1"
"2011","Alberta","2016A000248","Losses from the distribution system","Cubic metres","72","millions","6","v91504472","10.4","45.1","A","","","1"
"2011","Alberta","2016A000248","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504473","10.5","55.6","A","","","1"
"2011","Alberta","2016A000248","Sector of use unknown","Cubic metres","72","millions","6","v91504474","10.6","41.9","A","","","1"
"2011","Alberta","2016A000248","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504475","10.7","373","A","","","0"
"2011","Alberta","2016A000248","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504476","10.8","187","A","","","0"
"2011","Alberta","2016A000248","Responding population served for the average daily residential use","Persons","249","units ","0","v91504477","10.9","2953454","A","","","0"
"2011","British Columbia","2016A000259","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504478","11.1","792.2","A","","","1"
"2011","British Columbia","2016A000259","Residential sector","Cubic metres","72","millions","6","v91504479","11.2","403.6","A","","","1"
"2011","British Columbia","2016A000259","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504480","11.3","213.4","A","","","1"
"2011","British Columbia","2016A000259","Losses from the distribution system","Cubic metres","72","millions","6","v91504481","11.4","74.1","A","","","1"
"2011","British Columbia","2016A000259","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504482","11.5","2.2","D","","","1"
"2011","British Columbia","2016A000259","Sector of use unknown","Cubic metres","72","millions","6","v91504483","11.6","98.9","A","","","1"
"2011","British Columbia","2016A000259","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504484","11.7","543","A","","","0"
"2011","British Columbia","2016A000259","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504485","11.8","312","A","","","0"
"2011","British Columbia","2016A000259","Responding population served for the average daily residential use","Persons","249","units ","0","v91504486","11.9","3545689","A","","","0"
"2011","Yukon","2016A000260","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504487","12.1","8.7","A","","","1"
"2011","Yukon","2016A000260","Residential sector","Cubic metres","72","millions","6","v91504488","12.2","5.7","A","","","1"
"2011","Yukon","2016A000260","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504489","12.3","1.9","A","","","1"
"2011","Yukon","2016A000260","Losses from the distribution system","Cubic metres","72","millions","6","v91504490","12.4","0.2","A","","","1"
"2011","Yukon","2016A000260","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504491","12.5","0.0","A","","","1"
"2011","Yukon","2016A000260","Sector of use unknown","Cubic metres","72","millions","6","v91504492","12.6","0.9","A","","","1"
"2011","Yukon","2016A000260","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504493","12.7","776","A","","","0"
"2011","Yukon","2016A000260","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504494","12.8","573","A","","","0"
"2011","Yukon","2016A000260","Responding population served for the average daily residential use","Persons","249","units ","0","v91504495","12.9","27096","A","","","0"
"2011","Northwest Territories","2016A000261","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504496","13.1","5.5","B","","","1"
"2011","Northwest Territories","2016A000261","Residential sector","Cubic metres","72","millions","6","v91504497","13.2","1.4","D","","","1"
"2011","Northwest Territories","2016A000261","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504498","13.3","0.3","D","","","1"
"2011","Northwest Territories","2016A000261","Losses from the distribution system","Cubic metres","72","millions","6","v91504499","13.4","","F","","","1"
"2011","Northwest Territories","2016A000261","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504500","13.5","0.1","E","","","1"
"2011","Northwest Territories","2016A000261","Sector of use unknown","Cubic metres","72","millions","6","v91504501","13.6","3.7","A","","","1"
"2011","Northwest Territories","2016A000261","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504502","13.7","374","A","","","0"
"2011","Northwest Territories","2016A000261","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504503","13.8","214","B","","","0"
"2011","Northwest Territories","2016A000261","Responding population served for the average daily residential use","Persons","249","units ","0","v91504504","13.9","17590","C","","","0"
"2011","Nunavut","2016A000262","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504505","14.1","2.0","B","","","1"
"2011","Nunavut","2016A000262","Residential sector","Cubic metres","72","millions","6","v91504506","14.2","1.4","B","","","1"
"2011","Nunavut","2016A000262","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504507","14.3","0.4","B","","","1"
"2011","Nunavut","2016A000262","Losses from the distribution system","Cubic metres","72","millions","6","v91504508","14.4","0.1","C","","","1"
"2011","Nunavut","2016A000262","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504509","14.5","","F","","","1"
"2011","Nunavut","2016A000262","Sector of use unknown","Cubic metres","72","millions","6","v91504510","14.6","0.1","A","","","1"
"2011","Nunavut","2016A000262","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504511","14.7","144","B","","","0"
"2011","Nunavut","2016A000262","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504512","14.8","112","B","","","0"
"2011","Nunavut","2016A000262","Responding population served for the average daily residential use","Persons","249","units ","0","v91504513","14.9","35390","C","","","0"
"2013","Canada","2016A000011124","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504388","1.1","5032.8","A","","","1"
"2013","Canada","2016A000011124","Residential sector","Cubic metres","72","millions","6","v91504389","1.2","1971.4","A","","","1"
"2013","Canada","2016A000011124","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504390","1.3","1272.8","A","","","1"
"2013","Canada","2016A000011124","Losses from the distribution system","Cubic metres","72","millions","6","v91504391","1.4","640.5","A","","","1"
"2013","Canada","2016A000011124","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504392","1.5","114.0","A","","","1"
"2013","Canada","2016A000011124","Sector of use unknown","Cubic metres","72","millions","6","v91504393","1.6","1034.0","A","","","1"
"2013","Canada","2016A000011124","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504394","1.7","460","A","","","0"
"2013","Canada","2016A000011124","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504395","1.8","222","A","","","0"
"2013","Canada","2016A000011124","Responding population served for the average daily residential use","Persons","249","units ","0","v91504396","1.9","24291634","A","","","0"
"2013","Newfoundland and Labrador","2016A000210","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504397","2.1","130.8","A","","","1"
"2013","Newfoundland and Labrador","2016A000210","Residential sector","Cubic metres","72","millions","6","v91504398","2.2","28.1","B","","","1"
"2013","Newfoundland and Labrador","2016A000210","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504399","2.3","5.5","D","","","1"
"2013","Newfoundland and Labrador","2016A000210","Losses from the distribution system","Cubic metres","72","millions","6","v91504400","2.4","2.2","A","","","1"
"2013","Newfoundland and Labrador","2016A000210","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504401","2.5","0.3","E","","","1"
"2013","Newfoundland and Labrador","2016A000210","Sector of use unknown","Cubic metres","72","millions","6","v91504402","2.6","94.6","A","","","1"
"2013","Newfoundland and Labrador","2016A000210","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504403","2.7","853","A","","","0"
"2013","Newfoundland and Labrador","2016A000210","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504404","2.8","628","A","","","0"
"2013","Newfoundland and Labrador","2016A000210","Responding population served for the average daily residential use","Persons","249","units ","0","v91504405","2.9","122609","B","","","0"
"2013","Prince Edward Island","2016A000211","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504406","3.1","12.1","A","","","1"
"2013","Prince Edward Island","2016A000211","Residential sector","Cubic metres","72","millions","6","v91504407","3.2","4.8","A","","","1"
"2013","Prince Edward Island","2016A000211","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504408","3.3","2.8","B","","","1"
"2013","Prince Edward Island","2016A000211","Losses from the distribution system","Cubic metres","72","millions","6","v91504409","3.4","1.0","A","","","1"
"2013","Prince Edward Island","2016A000211","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504410","3.5","0.0","","","","1"
"2013","Prince Edward Island","2016A000211","Sector of use unknown","Cubic metres","72","millions","6","v91504411","3.6","3.5","B","","","1"
"2013","Prince Edward Island","2016A000211","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504412","3.7","491","A","","","0"
"2013","Prince Edward Island","2016A000211","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504413","3.8","281","A","","","0"
"2013","Prince Edward Island","2016A000211","Responding population served for the average daily residential use","Persons","249","units ","0","v91504414","3.9","46726","A","","","0"
"2013","Nova Scotia","2016A000212","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504415","4.1","94.0","A","","","1"
"2013","Nova Scotia","2016A000212","Residential sector","Cubic metres","72","millions","6","v91504416","4.2","41.4","A","","","1"
"2013","Nova Scotia","2016A000212","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504417","4.3","21.2","A","","","1"
"2013","Nova Scotia","2016A000212","Losses from the distribution system","Cubic metres","72","millions","6","v91504418","4.4","14.7","A","","","1"
"2013","Nova Scotia","2016A000212","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504419","4.5","1.1","B","","","1"
"2013","Nova Scotia","2016A000212","Sector of use unknown","Cubic metres","72","millions","6","v91504420","4.6","15.7","A","","","1"
"2013","Nova Scotia","2016A000212","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504421","4.7","444","A","","","0"
"2013","Nova Scotia","2016A000212","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504422","4.8","219","A","","","0"
"2013","Nova Scotia","2016A000212","Responding population served for the average daily residential use","Persons","249","units ","0","v91504423","4.9","517035","A","","","0"
"2013","New Brunswick","2016A000213","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504424","5.1","94.7","A","","","1"
"2013","New Brunswick","2016A000213","Residential sector","Cubic metres","72","millions","6","v91504425","5.2","21.2","A","","","1"
"2013","New Brunswick","2016A000213","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504426","5.3","11.8","A","","","1"
"2013","New Brunswick","2016A000213","Losses from the distribution system","Cubic metres","72","millions","6","v91504427","5.4","5.3","A","","","1"
"2013","New Brunswick","2016A000213","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504428","5.5","0.0","A","","","1"
"2013","New Brunswick","2016A000213","Sector of use unknown","Cubic metres","72","millions","6","v91504429","5.6","56.3","A","","","1"
"2013","New Brunswick","2016A000213","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504430","5.7","673","A","","","0"
"2013","New Brunswick","2016A000213","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504431","5.8","239","A","","","0"
"2013","New Brunswick","2016A000213","Responding population served for the average daily residential use","Persons","249","units ","0","v91504432","5.9","242672","A","","","0"
"2013","Quebec","2016A000224","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504433","6.1","1577.4","A","","","1"
"2013","Quebec","2016A000224","Residential sector","Cubic metres","72","millions","6","v91504434","6.2","414.0","A","","","1"
"2013","Quebec","2016A000224","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504435","6.3","377.4","A","","","1"
"2013","Quebec","2016A000224","Losses from the distribution system","Cubic metres","72","millions","6","v91504436","6.4","277.8","A","","","1"
"2013","Quebec","2016A000224","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504437","6.5","36.8","A","","","1"
"2013","Quebec","2016A000224","Sector of use unknown","Cubic metres","72","millions","6","v91504438","6.6","471.4","A","","","1"
"2013","Quebec","2016A000224","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504439","6.7","595","A","","","0"
"2013","Quebec","2016A000224","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504440","6.8","256","A","","","0"
"2013","Quebec","2016A000224","Responding population served for the average daily residential use","Persons","249","units ","0","v91504441","6.9","4429909","A","","","0"
"2013","Ontario","2016A000235","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504442","7.1","1627.7","A","","","1"
"2013","Ontario","2016A000235","Residential sector","Cubic metres","72","millions","6","v91504443","7.2","737.1","A","","","1"
"2013","Ontario","2016A000235","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504444","7.3","476.4","A","","","1"
"2013","Ontario","2016A000235","Losses from the distribution system","Cubic metres","72","millions","6","v91504445","7.4","176.3","A","","","1"
"2013","Ontario","2016A000235","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504446","7.5","32.9","A","","","1"
"2013","Ontario","2016A000235","Sector of use unknown","Cubic metres","72","millions","6","v91504447","7.6","205.0","A","","","1"
"2013","Ontario","2016A000235","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504448","7.7","378","A","","","0"
"2013","Ontario","2016A000235","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504449","7.8","192","A","","","0"
"2013","Ontario","2016A000235","Responding population served for the average daily residential use","Persons","249","units ","0","v91504450","7.9","10494079","A","","","0"
"2013","Manitoba","2016A000246","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504451","8.1","115.5","A","","","1"
"2013","Manitoba","2016A000246","Residential sector","Cubic metres","72","millions","6","v91504452","8.2","56.7","A","","","1"
"2013","Manitoba","2016A000246","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504453","8.3","27.0","A","","","1"
"2013","Manitoba","2016A000246","Losses from the distribution system","Cubic metres","72","millions","6","v91504454","8.4","13.5","A","","","1"
"2013","Manitoba","2016A000246","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504455","8.5","3.5","A","","","1"
"2013","Manitoba","2016A000246","Sector of use unknown","Cubic metres","72","millions","6","v91504456","8.6","14.8","A","","","1"
"2013","Manitoba","2016A000246","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504457","8.7","326","A","","","0"
"2013","Manitoba","2016A000246","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504458","8.8","181","A","","","0"
"2013","Manitoba","2016A000246","Responding population served for the average daily residential use","Persons","249","units ","0","v91504459","8.9","857577","A","","","0"
"2013","Saskatchewan","2016A000247","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504460","9.1","122.3","A","","","1"
"2013","Saskatchewan","2016A000247","Residential sector","Cubic metres","72","millions","6","v91504461","9.2","51.6","A","","","1"
"2013","Saskatchewan","2016A000247","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504462","9.3","34.7","A","","","1"
"2013","Saskatchewan","2016A000247","Losses from the distribution system","Cubic metres","72","millions","6","v91504463","9.4","17.6","A","","","1"
"2013","Saskatchewan","2016A000247","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504464","9.5","5.0","A","","","1"
"2013","Saskatchewan","2016A000247","Sector of use unknown","Cubic metres","72","millions","6","v91504465","9.6","13.3","A","","","1"
"2013","Saskatchewan","2016A000247","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504466","9.7","409","A","","","0"
"2013","Saskatchewan","2016A000247","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504467","9.8","197","A","","","0"
"2013","Saskatchewan","2016A000247","Responding population served for the average daily residential use","Persons","249","units ","0","v91504468","9.9","718750","A","","","0"
"2013","Alberta","2016A000248","Total potable water volume, all sectors of use","Cubic metres","72","millions","6","v91504469","10.1","455.8","A","","","1"
"2013","Alberta","2016A000248","Residential sector","Cubic metres","72","millions","6","v91504470","10.2","211.5","A","","","1"
"2013","Alberta","2016A000248","Industrial, commercial, institutional and other non-residential sectors","Cubic metres","72","millions","6","v91504471","10.3","117.9","A","","","1"
"2013","Alberta","2016A000248","Losses from the distribution system","Cubic metres","72","millions","6","v91504472","10.4","60.8","A","","","1"
"2013","Alberta","2016A000248","Wholesale water provided to other jurisdictions","Cubic metres","72","millions","6","v91504473","10.5","23.0","A","","","1"
"2013","Alberta","2016A000248","Sector of use unknown","Cubic metres","72","millions","6","v91504474","10.6","42.5","A","","","1"
"2013","Alberta","2016A000248","Average daily total use per capita of the population served","Litres per person per day","318","units ","0","v91504475","10.7","365","A","","","0"
"2013","Alberta","2016A000248","Average daily residential use per capita of the population served","Litres per person per day","318","units ","0","v91504476","10.8","184","A","","","0"
"2013","Alberta","2016A000248","Responding population served for the average daily residential use","Persons","249","units ","0","v91504477","10.9","3151967","A","","","0"
